Créditos-aula por Núcleo
ICMC,BCC,PUC-RIO,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
32,6,51,12,47,0
26,6,34,12,54,0
