Créditos-aula por Núcleo
UNESP,BCC,UFRGS,BCC
Matemática,Contexto Social e Profissional,Eletrônica,Fundamentos da Computação,Tecnologia da Computação,Ciências Básicas
28,12,4,28,70,10
40,8,0,40,64,0
