Créditos-aula por Núcleo
UFSC,BSI,UFG,BCC
Matemática,Contexto Social e Profissional,Eletrônica,Fundamentos da Computação,Tecnologia da Computação,Ciências Básicas
16,24,0,20,81,8
20,18,0,52,78,0
