Créditos-aula por Núcleo
PUCRS,BSI,UFG,BCC
Matemática,Contexto Social e Profissional,Eletrônica,Fundamentos da Computação,Tecnologia da Computação,Ciências Básicas
22,31,8,14,94,8
20,18,0,52,78,0
