Créditos-aula por Núcleo
IME,BCC,PUC-RIO,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
40,0,28,7,12,0
26,6,34,12,54,0
