Créditos-aula por Núcleo
PUC-RIO,BCC,UFG,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
26,6,34,12,54,0
20,0,52,18,78,0
