Créditos-aula por Núcleo
ICMC,BCC,PUCRS,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
32,6,51,12,47,0
24,0,68,16,86,0
