Créditos-aula por Núcleo
UNB,BCC,IME,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
22,0,36,4,44,0
40,0,28,7,12,0
