Créditos-aula por Núcleo
UNICAMP,BSI,UFG,BCC
Matemática,Contexto Social e Profissional,Eletrônica,Fundamentos da Computação,Tecnologia da Computação,Ciências Básicas
24,44,0,54,46,0
20,18,0,52,78,0
