Créditos-aula por Núcleo
ICMC,BSI,PUC-RIO,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
16,0,51,20,32,0
26,6,34,12,54,0
