Créditos-aula por Núcleo
UFSC,BSI,UNB,BCC
Matemática,Contexto Social e Profissional,Eletrônica,Fundamentos da Computação,Tecnologia da Computação,Ciências Básicas
16,24,0,20,81,8
22,4,0,36,44,0
