Créditos-aula por Núcleo
UNB,BCC,PUC-RIO,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
22,0,36,4,44,0
26,6,34,12,54,0
