Créditos-aula por Núcleo
SBC,BCC,PUCRS,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
0,0,0,0,0,0
24,0,68,16,86,0
