Créditos-aula por Núcleo
SBC,Eng. Comp.,UFPE,BCC
Tecnologia da Computação,Contexto Social e Profissional,Fundamentos da Computação,Ciências Básicas,Eletrônica,Matemática
0,0,0,0,0,0
46,14,26,0,5,17
