Créditos-aula por Núcleo
UNESP,BCC,UFG,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
28,22,28,12,58,4
20,0,52,18,78,0
