Créditos-aula por Núcleo
UFSC,BCC,PUCRS,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
27,0,57,23,65,0
24,0,68,16,86,0
