Créditos-aula por Núcleo
UNESP,BCC,ICMC,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
28,22,28,12,58,4
32,6,51,12,47,0
