Créditos-aula por Núcleo
UNB,BCC,UFG,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
22,0,36,4,44,0
20,0,52,18,78,0
