Créditos-aula por Núcleo
SBC,Eng. Comp.,SBC,BCC
Tecnologia da Computação,Contexto Social e Profissional,Fundamentos da Computação,Ciências Básicas,Eletrônica,Matemática
0,0,0,0,0,0
0,0,0,0,0,0
