Créditos-aula por Núcleo
PUCRS,BCC,PUC-RIO,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
24,0,68,16,86,0
26,6,34,12,54,0
