Créditos-aula por Núcleo
UNESP,BCC,UFPE,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
28,22,28,12,58,4
17,0,31,17,38,5
