Créditos-aula por Núcleo
UNB,BCC,UFSC,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
22,0,36,4,44,0
27,0,57,23,65,0
