Créditos-aula por Núcleo
UNB,BCC,PUCRS,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
22,0,36,4,44,0
24,0,68,16,86,0
