Créditos-aula por Núcleo
UFG,BCC,UFPR,BCC
Matemática,Contexto Social e Profissional,Eletrônica,Fundamentos da Computação,Tecnologia da Computação,Ciências Básicas
20,18,0,52,78,0
19,7,0,37,40,0
