Créditos-aula por Núcleo
UNESP,BCC,IME,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
28,22,28,12,58,4
40,0,28,7,12,0
