Créditos-aula por Núcleo
UNESP,BCC,PUC-RIO,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
28,22,28,12,58,4
26,6,34,12,54,0
