Créditos-aula por Núcleo
IME,BCC,PUCRS,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
40,0,28,7,12,0
24,0,68,16,86,0
