Créditos-aula por Núcleo
UNESP,BCC,UFSC,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
28,22,28,12,58,4
27,0,57,23,65,0
