Créditos-aula por Núcleo
UFPE,BCC,UFRGS,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
17,0,31,17,38,5
40,0,40,8,64,0
