Créditos-aula por Núcleo
ICMC,BCC,SBC,BCC
Matemática,Contexto Social e Profissional,Eletrônica,Fundamentos da Computação,Tecnologia da Computação,Ciências Básicas
32,12,0,51,47,6
0,0,0,0,0,0
