Créditos-aula por Núcleo
PUCRIO,BCC,SBC,BCC
Matemática,Contexto Social e Profissional,Eletrônica,Fundamentos da Computação,Tecnologia da Computação,Ciências Básicas
26,12,0,34,54,6
0,0,0,0,0,0
