Créditos-aula por Núcleo
SBC,BCC,UFSC,BCC
Matemática,Ciências Básicas,Fundamentos da Computação,Contexto Social e Profissional,Tecnologia da Computação,Eletrônica
0,0,0,0,0,0
27,0,57,23,65,0
