Créditos-aula por Núcleo
ICMC,BSI,PUCRIO,BCC
Matemática,Contexto Social e Profissional,Eletrônica,Fundamentos da Computação,Tecnologia da Computação,Ciências Básicas
16,20,0,51,32,0
26,12,0,34,54,6
