Créditos-aula por Núcleo
UNB,BCC,UNESP,BCC
Matemática,Contexto Social e Profissional,Eletrônica,Fundamentos da Computação,Tecnologia da Computação,Ciências Básicas
22,4,0,36,44,0
28,12,4,28,70,10
