Créditos-aula por Núcleo
SBC,Eng. Comp.,IME,BCC
Tecnologia da Computação,Contexto Social e Profissional,Fundamentos da Computação,Ciências Básicas,Eletrônica,Matemática
0,0,0,0,0,0
12,7,28,0,0,40
